Shelter,Silicone Silicone Plastic Plastic
Auto Extractor,Tungsten_Carbide Rubber Steel EXO_Chip
Extra Large Shredder,Steel Tungsten_Carbide EXO_Chip EXO_Chip
Solar Array,Graphene Aluminum_Alloy Glass Copper
XL Wind Turbine,Graphene Aluminum_Alloy Ceramic Iron
Medium Sensor Arch,Zinc Quartz
XL Sensor Arch,Zinc Zinc Quartz Quartz
XL Sensor Canopy,Zinc Zinc Quartz Quartz
Large Sensor Ring,Zinc Quartz
Large Sensor Hoop A,Zinc Quartz Quartz
Large Sensor Hoop B,Zinc Zinc Quartz
XL Sensor Hoop A,Zinc Zinc Quartz Quartz
XL Sensor Hoop B,Zinc Zinc Zinc Quartz
Extra Large Platform A,Ceramic Ceramic Iron Iron
Extra Large Platform B,Iron Iron Iron Iron
Extra Large Platform C,Resin Resin Iron Iron
Extra Large Curved Platform,Ceramic Ceramic Compound x2
XL Extended Platform,Resin Resin Resin
Figurine Platform,Iron Iron Iron Iron
Extra Large Storage,Ceramic Ceramic Iron Iron
Large Rover,Rubber Aluminum_Alloy EXO_Chip EXO_Chip
Landing Pad,Ceramic Ceramic Aluminum
Small Shuttle,Aluminum Aluminum
Medium Shuttle,Ceramic Ceramic Aluminum_Alloy
Large Shuttle,Ceramic Titanium_Alloy EXO_Chip EXO_Chip
