Output,Input
Shelter,Silicone x2 Plastic x2
Auto Extractor,Tungsten Carbide Rubber Steel EXO Chip
Extra Large Shredder,Steel Tungsten Carbide EXO Chip x2
Solar Array,Graphene Aluminum Alloy Glass Copper
XL Wind Turbine,Graphene Aluminum Alloy Ceramic Iron
Medium Sensor Arch,Zinc Quartz
XL Sensor Arch,Zinc x2 Quartz x2
XL Sensor Canopy,Zinc x2 Quartz x2
Large Sensor Ring,Zinc Quartz
Large Sensor Hoop A,Zinc Quartz x2
Large Sensor Hoop B,Zinc x2 Quartz
XL Sensor Hoop A,Zinc x2 Quartz x2
XL Sensor Hoop B,Zinc x3 Quartz
Extra Large Platform A,Ceramic x2 Iron x2
Extra Large Platform B,Iron x4
Extra Large Platform C,Resin x2 Iron x2
Extra Large Curved Platform,Ceramic x2 Compound x2
XL Extended Platform,Resin x3
Figurine Platform,Iron x4
Extra Large Storage,Ceramic x2 Iron x2
Large Rover,Rubber Aluminum Alloy EXO Chip x2
Landing Pad,Ceramic x2 Aluminum
Small Shuttle,Aluminum x2
Medium Shuttle,Ceramic x2 Aluminum Alloy
Large Shuttle,Ceramic Titanium Alloy EXO Chip x2
